file length: 10000
fixed file:  false
order replicate index language algorithm seconds
626 42 4 C++ Mergesort 0.07818
627 42 10 Java Mergesort 0.43597
628 42 13 Python Mergesort 0.32802
629 42 9 Java Binarytree 0.30488
630 42 0 C# Binarytree 0.10206
631 43 13 Python Mergesort 0.39747
632 43 8 Go Quicksort 0.18217
633 43 2 C# Quicksort 0.09839
634 43 7 Go Mergesort 0.17025
635 43 9 Java Binarytree 0.35250
636 43 1 C# Mergesort 0.09080
637 43 0 C# Binarytree 0.11381
638 43 6 Go Binarytree 0.20177
639 43 3 C++ Binarytree 0.09373
640 43 14 Python Quicksort 0.35512
641 43 5 C++ Quicksort 0.11687
642 43 12 Python Binarytree 0.43402
643 43 4 C++ Mergesort 0.08269
644 43 10 Java Mergesort 0.40794
645 43 11 Java Quicksort 0.40572
646 44 6 Go Binarytree 0.23909
647 44 7 Go Mergesort 0.19649
648 44 1 C# Mergesort 0.13949
649 44 9 Java Binarytree 0.37225
650 44 4 C++ Mergesort 0.11702
651 44 13 Python Mergesort 0.35989
652 44 14 Python Quicksort 0.35491
653 44 3 C++ Binarytree 0.10537
654 44 12 Python Binarytree 0.39617
655 44 10 Java Mergesort 0.36528
656 44 8 Go Quicksort 0.24747
657 44 2 C# Quicksort 0.10248
658 44 5 C++ Quicksort 0.07709
659 44 0 C# Binarytree 0.09662
660 44 11 Java Quicksort 0.41587
661 45 11 Java Quicksort 0.41232
662 45 6 Go Binarytree 0.18991
663 45 7 Go Mergesort 0.19343
664 45 12 Python Binarytree 0.40905
665 45 4 C++ Mergesort 0.08453
666 45 13 Python Mergesort 0.32991
667 45 10 Java Mergesort 0.40608
668 45 8 Go Quicksort 0.16967
669 45 3 C++ Binarytree 0.14693
670 45 1 C# Mergesort 0.13349
671 45 0 C# Binarytree 0.10412
672 45 2 C# Quicksort 0.10733
673 45 9 Java Binarytree 0.38798
674 45 14 Python Quicksort 0.30958
675 45 5 C++ Quicksort 0.08593
676 46 12 Python Binarytree 0.44051
677 46 14 Python Quicksort 0.32522
678 46 0 C# Binarytree 0.11260
679 46 3 C++ Binarytree 0.11760
680 46 6 Go Binarytree 0.22831
